epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.0229,1.09454,3.25294,1.10374,0.75263,0.65201,0.67522,0.47269,1.01531,2.17366,1.05748,0.0005001,0.0005001,0.0005001
2,187.565,1.15341,1.48784,1.07408,0.27729,0.59524,0.27642,0.17729,1.19793,4.56926,1.1752,0.000996736,0.000996736,0.000996736
3,277.84,1.18857,1.61498,1.11549,0.70731,0.52381,0.59261,0.36602,1.3056,1.66981,1.29405,0.00147291,0.00147291,0.00147291
4,369.293,1.20765,1.36309,1.1065,0.85087,0.59524,0.7267,0.48458,1.15809,1.4196,1.18629,0.00156798,0.00156798,0.00156798
5,461.012,1.21278,1.15815,1.12679,0.8156,0.65476,0.7366,0.47522,1.25113,1.26437,1.23183,0.00153497,0.00153497,0.00153497
6,552.939,1.22661,1.16958,1.13827,0.47803,0.57143,0.37009,0.227,1.51056,2.24455,1.38364,0.00150197,0.00150197,0.00150197
7,645.333,1.18973,1.00697,1.12161,0.53399,0.72301,0.49306,0.32293,1.26901,1.59266,1.27399,0.00146896,0.00146896,0.00146896
8,739.197,1.20388,0.922,1.10596,0.78491,0.65167,0.67112,0.4153,1.42487,1.31707,1.35882,0.00143595,0.00143595,0.00143595
9,835.977,1.09283,0.87977,1.04751,0.8511,0.63095,0.72156,0.46441,1.28637,1.21234,1.29843,0.00140295,0.00140295,0.00140295
10,932.382,1.06447,0.90859,1.07623,0.79602,0.74337,0.78456,0.50806,1.23261,1.04157,1.28068,0.00136994,0.00136994,0.00136994
11,1029.44,1.07953,0.84968,1.02371,0.92511,0.73533,0.83822,0.57978,1.09944,0.89767,1.15897,0.00133693,0.00133693,0.00133693
12,1127.36,0.98088,0.79316,1.0281,0.91296,0.74921,0.80091,0.5732,1.09267,0.94537,1.15413,0.00130393,0.00130393,0.00130393
13,1230.97,1.0264,0.78634,1.043,0.86466,0.72619,0.80703,0.55329,1.07508,1.00695,1.17223,0.00127092,0.00127092,0.00127092
14,1341.98,1.06531,0.8081,1.02437,0.82559,0.71429,0.76772,0.49436,1.08306,1.06582,1.13241,0.00123791,0.00123791,0.00123791
15,1452.26,0.99659,0.81236,0.98672,0.85331,0.77381,0.82248,0.57571,1.08641,0.96254,1.1741,0.00120491,0.00120491,0.00120491
16,1568.37,1.01423,0.74858,1.01416,0.87601,0.7619,0.8305,0.55598,1.09767,0.84551,1.15247,0.0011719,0.0011719,0.0011719
17,1684.63,1.02212,0.72316,0.9993,0.86205,0.78571,0.84055,0.56609,1.10632,0.782,1.11033,0.00113889,0.00113889,0.00113889
18,1802.33,0.92695,0.70848,0.98319,0.96871,0.7619,0.85136,0.58696,1.04416,0.77414,1.09612,0.00110589,0.00110589,0.00110589
19,1912.34,0.92958,0.68139,0.98215,0.87126,0.72509,0.81382,0.59122,1.08841,0.92987,1.15182,0.00107288,0.00107288,0.00107288
20,2022.32,0.96754,0.71025,1.01621,0.79772,0.79812,0.83162,0.58439,1.07536,0.98083,1.1384,0.00103987,0.00103987,0.00103987
21,2142.05,0.97729,0.70412,0.99289,0.95351,0.73255,0.85742,0.60708,1.03392,0.81849,1.07393,0.00100687,0.00100687,0.00100687
22,2247.64,0.8759,0.66782,0.96798,0.88067,0.78571,0.86964,0.60562,1.04728,0.72338,1.08606,0.000973861,0.000973861,0.000973861
23,2354.2,0.91636,0.65254,0.95918,0.87251,0.81475,0.8712,0.61881,1.06569,0.7403,1.11089,0.000940855,0.000940855,0.000940855
24,2460.92,0.90936,0.68193,0.9559,0.83191,0.82487,0.86863,0.6058,1.04443,0.74031,1.07938,0.000907848,0.000907848,0.000907848
25,2567.12,0.85463,0.61289,0.94789,0.9293,0.78238,0.86894,0.6199,1.01024,0.79672,1.08172,0.000874842,0.000874842,0.000874842
26,2673.01,0.94155,0.68964,0.97365,0.94405,0.80356,0.88057,0.63373,1.06885,0.66072,1.11328,0.000841835,0.000841835,0.000841835
27,2784.24,0.85388,0.62987,0.96295,0.89947,0.74568,0.8354,0.60331,1.0299,0.7351,1.10213,0.000808828,0.000808828,0.000808828
28,2894.27,0.85292,0.62235,0.95425,0.92459,0.7619,0.86772,0.60197,1.07103,0.70805,1.12,0.000775822,0.000775822,0.000775822
29,3005.84,0.8334,0.5521,0.95091,0.81325,0.80952,0.86496,0.60758,1.03707,0.76899,1.08645,0.000742815,0.000742815,0.000742815
30,3119.69,0.84326,0.60508,0.95751,0.9653,0.79762,0.88427,0.62254,1.08357,0.74076,1.09783,0.000709809,0.000709809,0.000709809
31,3230.48,0.82447,0.60016,0.93982,0.94516,0.82143,0.88488,0.6366,1.03145,0.66265,1.07937,0.000676802,0.000676802,0.000676802
32,3338.6,0.86152,0.60191,0.96496,0.92772,0.82143,0.86783,0.63334,0.91575,0.67631,1.0201,0.000643795,0.000643795,0.000643795
33,3442.84,0.78715,0.55042,0.91491,0.87592,0.84041,0.86315,0.64103,0.94369,0.68791,1.03495,0.000610789,0.000610789,0.000610789
34,3554.33,0.74511,0.51693,0.90241,0.94355,0.79597,0.87174,0.62656,0.94593,0.67674,1.05166,0.000577782,0.000577782,0.000577782
35,3669.31,0.78324,0.55184,0.92309,0.95535,0.80952,0.89202,0.64482,0.97091,0.65838,1.05073,0.000544776,0.000544776,0.000544776
36,3781.47,0.73836,0.49599,0.89843,0.94493,0.83333,0.91488,0.66454,0.94175,0.6411,1.04103,0.000511769,0.000511769,0.000511769
37,3897.36,0.7709,0.5104,0.93312,0.92178,0.84182,0.90495,0.63662,0.99415,0.64818,1.04787,0.000478762,0.000478762,0.000478762
38,4012.28,0.76328,0.50334,0.91058,0.91978,0.81905,0.9031,0.64027,0.95946,0.62,1.02983,0.000445756,0.000445756,0.000445756
39,4125.3,0.67897,0.46988,0.89367,0.87694,0.8484,0.90728,0.66028,0.9128,0.6041,1.02592,0.000412749,0.000412749,0.000412749
40,4239.07,0.71835,0.45752,0.89934,0.88947,0.88095,0.92228,0.65262,0.93931,0.58016,1.04044,0.000379743,0.000379743,0.000379743
41,4357.09,0.66211,0.42615,0.88136,0.9094,0.83333,0.91968,0.64481,0.91185,0.59704,1.03188,0.000346736,0.000346736,0.000346736
42,4470.49,0.6433,0.41346,0.89267,0.9199,0.82029,0.92183,0.65794,0.91297,0.58734,1.02934,0.000313729,0.000313729,0.000313729
43,4581.81,0.62068,0.42135,0.87527,0.98566,0.81839,0.92434,0.65924,0.88628,0.57972,1.00309,0.000280723,0.000280723,0.000280723
44,4691.54,0.60166,0.40542,0.8712,0.95867,0.82851,0.8993,0.64001,0.91221,0.60515,1.02386,0.000247716,0.000247716,0.000247716
45,4803.04,0.60755,0.40202,0.88454,0.95896,0.83449,0.90801,0.66852,0.90126,0.62902,1.01418,0.00021471,0.00021471,0.00021471
46,4916.15,0.61264,0.39256,0.86379,0.96789,0.83333,0.92411,0.66284,0.89385,0.62854,1.0161,0.000181703,0.000181703,0.000181703
47,5029.63,0.58892,0.38312,0.88396,0.98193,0.82143,0.9246,0.67401,0.9007,0.62445,1.02646,0.000148696,0.000148696,0.000148696
48,5143.8,0.57858,0.3835,0.86679,0.9855,0.80914,0.92247,0.66631,0.92419,0.60227,1.03584,0.00011569,0.00011569,0.00011569
49,5257,0.57289,0.37463,0.87381,0.9855,0.80898,0.92412,0.66506,0.93071,0.57199,1.05002,8.26832e-05,8.26832e-05,8.26832e-05
50,5370.01,0.58022,0.36688,0.87748,0.96167,0.79762,0.91077,0.67166,0.92485,0.55623,1.04938,4.96766e-05,4.96766e-05,4.96766e-05
